Time,propulsion/engine[0]/thrust-N,propulsion/tank[0]/contents-kg,position/h-agl-m,velocities/vc-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg
63.6,0,0,-2.49440740265917915,4.94296122205444188,97.0881522714849297,36.1623899971505551,157.458336262987331
63.7,0,0,-2.29151360040366425,4.50251691122407216,116.011173618081031,25.3839477028746678,149.963210495598247
63.8,0,0,-2.05497288612404727,4.10170268609364097,134.924442956878835,15.9698841375048026,143.690849069943653
63.9,0,0,-1.82758559989891656,3.63923386844712882,153.426298262717211,9.37786733079341239,137.92900748875374
64,0,0,-1.63616542152041156,3.12966792476044198,171.460763863402036,4.84892178472868007,132.352802376741522
64.1,0,0,-1.48886249820204264,2.61236743609317124,-169.140850651985033,2.07420151338979686,126.847891296955325
64.2,0,0,-1.39007166252345571,2.1305413767413528,-147.957874887383525,1.19489146848555605,121.370519317238134
64.3,0,0,-1.34435775512865008,1.75145306627424913,-125.091025342294557,2.38406708099397813,115.913300173603901
64.4,0,0,-1.35545194394894075,1.57156794643452269,-100.651858647973498,5.74958798286867179,110.469529980955997
64.5,0,0,-1.42478513952936203,1.64769847770542022,-74.6831602021409253,11.2791422008109752,104.978868580091785
64.6,0,0,-1.55041182502277297,1.91178272306690822,-47.0758912556936622,18.8374994203280224,99.2836925433351638
64.7,0,0,-1.72506448077072783,2.23481751906801396,-17.9462683702458925,28.138250971990356,93.0481655714849865
64.8,0,0,-1.93356439332859664,2.5112517118820552,12.6222674544820492,38.6146554340823087,85.6197277403183108
64.9,0,0,-2.15192149172665692,2.68562615699221263,46.4854112779558832,49.5262520284516654,75.8013040445145805
65,0,0,-2.36094382766950472,2.7660714507597941,84.0499692341665678,61.544784933766671,60.4294413651882181
65.1,0,0,-2.54288785046940635,2.6524946970035681,122.653025549910566,73.9649192674178551,26.9770994433065958
65.2,0,0,-2.67117779562261859,2.34590113760160612,132.203445379146586,79.0435039031143418,293.040797073279407
65.3,0,0,-2.71860833930955081,2.1753471101369275,158.340152582711113,69.3513616313329067,228.328680544799624
65.4,0,0,-2.68578302921469181,2.05986117562667914,-165.424471580187969,58.9020859521842439,203.456911251331718
65.5,0,0,-2.59819825356091894,2.0052459231078883,-132.639001084134122,50.3065836371372299,188.969322548120431
65.6,0,0,-2.48454276538330232,1.95539460465850601,-102.23097206883061,43.7121411883978084,178.353579826731561
65.7,0,0,-2.3693651065473933,1.88908740932281671,-72.7325509101427912,39.1207299295574629,169.509448693854523
65.8,0,0,-2.2716849084540649,1.82614791835537482,-43.0349029188398191,36.5887146618428645,161.51518272355446
